tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Anett Kontaveit,1911,1135,1788,793,0.5939298796441653,0.44351230425055926,0.5212219518788862,0.9613259668508287,0.96875,0.9572192513368984,181.0,160.0,187.0,528.0,1.0,0.8540046725616661,-0.4149100681950877
WTA,Angelique Kerber,2927,1742,3050,1381,0.595148616330714,0.45278688524590166,0.522502927890246,0.9572953736654805,0.9638095238095238,0.9629629629629629,562.0,525.0,486.0,1573.0,1.0,0.7805928205691728,-0.5528384905446306
WTA,Anna Blinkova,1109,580,1171,509,0.5229936880072137,0.43467122117847995,0.4776315789473684,0.9587628865979382,0.9285714285714286,0.9066666666666666,97.0,70.0,75.0,242.0,4.0,-0.22938204091323988,0.14999275638613843
WTA,Anna Kalinskaya,1084,650,1059,432,0.5996309963099631,0.40793201133144474,0.5048996733551097,0.979381443298969,0.9823008849557522,0.9333333333333333,97.0,113.0,90.0,300.0,3.0,1.0803233117066027,0.19699139668998553
WTA,Anna Karolina Schmiedlova,1180,662,1162,472,0.5610169491525424,0.40619621342512907,0.484201537147737,0.9918032786885246,0.968944099378882,0.968,122.0,161.0,125.0,408.0,1.0,1.4068065211183927,0.09775612004396428
WTA,Aryna Sabalenka,3511,2190,3519,1596,0.6237539162631729,0.453537936913896,0.5385490753911807,0.9522900763358778,0.9385796545105566,0.9375975039001561,524.0,521.0,641.0,1686.0,4.0,0.11143957727649055,-0.33798504685431385
WTA,Ashleigh Barty,2126,1361,2273,1006,0.6401693320790216,0.4425868895732512,0.5380768356444646,0.9586776859504132,0.9393939393939394,0.9398280802292264,484.0,330.0,349.0,1163.0,4.0,0.23785585630263234,-0.23149820339364668
WTA,B Krejcikova,968,571,1005,464,0.5898760330578512,0.4616915422885572,0.5245818550430816,,,,,,,,,,
WTA,Barbora Krejcikova,1742,1080,1796,767,0.6199770378874856,0.42706013363028955,0.5220463538722442,0.9838056680161943,0.9304347826086956,0.950207468879668,247.0,230.0,241.0,718.0,4.0,0.5801779192862642,0.18996041010702056
WTA,Barbora Strycova,1616,970,1583,710,0.6002475247524752,0.4485154769425142,0.5251641137855579,0.9684684684684685,0.9542857142857143,0.9333333333333333,222.0,175.0,120.0,517.0,3.0,0.5279357695082493,0.017398234301010975
WTA,Beatriz Haddad Maia,1446,885,1429,615,0.6120331950207469,0.43037088873338,0.5217391304347826,0.9711934156378601,0.9462809917355371,0.9135802469135802,243.0,242.0,162.0,647.0,3.0,0.26702490683205715,0.3025434177138784
WTA,Belinda Bencic,2260,1395,2438,1045,0.6172566371681416,0.42863002461033634,0.519369944657301,0.9863387978142076,0.9627906976744186,0.9526184538653366,366.0,430.0,401.0,1197.0,1.0,1.0934763266562535,0.16268845897040748
WTA,Bernarda Pera,1546,873,1445,562,0.5646830530401035,0.3889273356401384,0.47977265128719493,0.9565217391304348,0.9818181818181818,0.9859154929577465,92.0,110.0,142.0,344.0,1.0,1.240795185464546,-0.8490247672160833
WTA,Bianca Andreescu,1864,1132,1854,800,0.6072961373390557,0.43149946062567424,0.5196342119419043,0.9427609427609428,0.9423868312757202,0.9481481481481482,297.0,243.0,270.0,810.0,4.0,0.1258136706970365,-0.65657493494418
WTA,C. Garcia,985,617,1028,444,0.6263959390862944,0.43190661478599224,0.5270740188772975,,,,,,,,,,
WTA,C. Wozniacki,1295,802,1253,592,0.6193050193050194,0.47246608140462887,0.5470957613814756,,,,,,,,,,
