tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts
ATP,Filip Krajinovic,1.0,0.9310344827586207,0.9615384615384616,43,29,26,98
ATP,Flavio Cobolli,0.9821428571428571,0.9807692307692307,0.9761904761904762,56,52,42,150
ATP,Florian Mayer,0.96875,0.9056603773584906,0.8863636363636364,32,53,44,129
ATP,Frances Tiafoe,0.9617083946980854,0.9425287356321839,0.8936170212765957,679,696,752,2127
ATP,Francisco Cerundolo,1.0,0.9615384615384616,0.9465648854961832,141,104,131,376
ATP,Francisco Comesana,0.961038961038961,0.9787234042553191,1.0,77,47,32,156
ATP,Gabriel Diallo,0.9636363636363636,0.9508196721311475,0.9272727272727272,110,61,55,226
ATP,Gael Monfils,0.965034965034965,0.9580645161290322,0.9107806691449815,715,620,538,1873
ATP,Gianluca Mager,0.8571428571428571,0.8571428571428571,0.8695652173913043,35,21,23,79
ATP,Gijs Brouwer,0.9814814814814815,1.0,0.9545454545454546,54,34,44,132
ATP,Gilles Muller,0.9693877551020408,0.89937106918239,0.8543046357615894,98,159,151,408
ATP,Gilles Simon,0.9012345679012346,0.8,0.7565217391304347,81,105,115,301
ATP,Giovanni Mpetshi Perricard,0.9696969696969697,0.96875,0.8461538461538461,33,32,65,130
ATP,Gregoire Barrere,0.9351851851851852,0.8688524590163934,0.84,108,61,75,244
ATP,Grigor Dimitrov,0.9470013947001394,0.9176706827309237,0.9194991055456172,717,498,559,1774
ATP,Guido Pella,0.953757225433526,0.935,0.8598726114649682,173,200,157,530
ATP,Henri Laaksonen,0.9538461538461539,0.9714285714285714,0.8513513513513513,130,70,74,274
ATP,Holger Rune,0.9775280898876404,0.9694323144104804,0.9123711340206185,178,229,194,601
ATP,Horacio Zeballos,0.9464285714285714,0.92,0.9454545454545454,56,50,55,161
ATP,Hubert Hurkacz,0.9698630136986301,0.9480122324159022,0.9245283018867925,365,327,371,1063
ATP,Hugo Dellien,0.9393939393939394,0.9807692307692307,0.9259259259259259,66,52,54,172
ATP,Hugo Gaston,0.972972972972973,0.9672131147540983,1.0,37,61,46,144
ATP,Hugo Grenier,1.0,0.9705882352941176,1.0,37,68,39,144
ATP,Hyeon Chung,0.9444444444444444,0.927007299270073,0.8849557522123894,162,137,113,412
ATP,Ilya Ivashka,0.9664429530201343,0.9759036144578314,0.9139072847682119,149,166,151,466
ATP,Ivo Karlovic,0.8817204301075269,0.85,0.8163265306122449,93,60,49,202
ATP,J.J. Wolf,0.9625,0.9882352941176471,0.9615384615384616,80,85,78,243
ATP,Jack Draper,0.9772727272727273,0.9803149606299213,0.9737827715355806,264,254,267,785
ATP,Jack Sock,0.9104477611940298,0.9130434782608695,0.8153310104529616,268,230,287,785
ATP,Jakub Mensik,0.9876543209876543,0.9146341463414634,0.9411764705882353,162,82,85,329
ATP,James Duckworth,0.9488636363636364,0.9704142011834319,0.94,176,169,150,495
ATP,Jan Choinski,0.9636363636363636,0.9705882352941176,0.9565217391304348,55,34,23,112
ATP,Jan Lennard Struff,0.9512195121951219,0.8990825688073395,0.8713692946058091,164,218,241,623
ATP,Janko Tipsarevic,1.0,0.9705882352941176,0.8656716417910447,30,34,67,131
ATP,Jannik Sinner,0.9797979797979798,0.9341317365269461,0.9235836627140975,594,668,759,2021
ATP,Jared Donaldson,0.96,0.8852459016393442,0.7971014492753623,50,61,69,180
ATP,Jason Kubler,0.9910714285714286,0.979381443298969,0.8850574712643678,112,97,87,296
ATP,Jaume Munar,0.9926470588235294,0.9617834394904459,0.9553571428571429,136,157,112,405
ATP,Jay Clarke,1.0,0.8461538461538461,0.8153846153846154,10,52,65,127
ATP,Jenson Brooksby,0.9874476987447699,0.9166666666666666,0.9448275862068966,239,144,145,528
ATP,Jeremy Chardy,0.9038461538461539,0.9078947368421053,0.8165137614678899,52,152,109,313
ATP,Jerzy Janowicz,0.8285714285714286,0.8947368421052632,0.9178082191780822,35,38,73,146
ATP,Jiri Lehecka,0.9747899159663865,0.9562043795620438,0.9578947368421052,119,137,95,351
ATP,Jiri Vesely,0.9939024390243902,0.9294117647058824,0.8780487804878049,164,255,164,583
ATP,Jo Wilfried Tsonga,0.9723756906077348,0.9520295202952029,0.9323843416370107,181,271,281,733
ATP,Joao Sousa,0.9280575539568345,0.9067796610169492,0.8928571428571429,139,118,140,397
ATP,John Isner,0.8726235741444867,0.8961593172119487,0.8485370051635112,526,703,581,1810
ATP,John Millman,0.9626556016597511,0.9281437125748503,0.8698224852071006,241,167,169,577
ATP,Jordan Thompson,0.9691358024691358,0.9420289855072463,0.914364640883978,324,345,362,1031
ATP,Juan Ignacio Londero,0.9615384615384616,1.0,0.92,26,20,25,71
ATP,Juan Manuel Cerundolo,0.8863636363636364,0.6829268292682927,0.9193548387096774,44,41,62,147
ATP,Juan Martin Del Potro,0.9619771863117871,0.9377593360995851,0.8823529411764706,263,241,255,759
ATP,Juan Martin del Potro,0.9455782312925171,0.8571428571428571,0.8875,147,70,80,297
ATP,Juan Pablo Varillas,0.9838709677419355,0.9642857142857143,1.0,62,28,29,119
ATP,Julien Benneteau,0.9047619047619048,0.9069767441860465,0.8043478260869565,42,43,46,131
ATP,Juncheng Shang,1.0,0.9555555555555556,0.9444444444444444,68,90,54,212
ATP,Kamil Majchrzak,0.9420289855072463,0.9696969696969697,0.9333333333333333,69,33,60,162
ATP,Karen Khachanov,0.974293059125964,0.9133663366336634,0.8154761904761905,389,404,504,1297
ATP,Kei Nishikori,0.9424083769633508,0.91,0.8660907127429806,382,500,463,1345
ATP,Kevin Anderson,0.9384164222873901,0.8791593695271454,0.8221830985915493,341,571,568,1480
ATP,Kyle Edmund,0.9264705882352942,0.8901098901098901,0.8830188679245283,204,182,265,651
ATP,Laslo Djere,0.9668508287292817,0.9037037037037037,0.7633587786259542,181,135,131,447
ATP,Learner Tien,1.0,0.9615384615384616,0.9761904761904762,55,26,42,123
ATP,Leonardo Mayer,0.9736842105263158,0.9811320754716981,0.9090909090909091,76,53,66,195
ATP,Liam Broady,0.9296875,0.9675675675675676,0.8740157480314961,128,185,127,440
ATP,Lloyd Harris,0.9259259259259259,0.8436018957345972,0.8267326732673267,162,211,202,575
ATP,Lorenzo Musetti,0.9672727272727273,0.8615384615384616,0.8533333333333334,275,130,300,705
ATP,Lorenzo Sonego,0.9492753623188406,0.9022556390977443,0.9038461538461539,138,133,104,375
ATP,Lucas Pouille,0.9020771513353115,0.8766666666666667,0.8508064516129032,337,300,248,885
ATP,Luciano Darderi,0.9333333333333333,0.9629629629629629,1.0,30,27,11,68
ATP,Lukas Lacko,0.95,0.9285714285714286,1.0,20,14,16,50
ATP,Mackenzie McDonald,0.9629629629629629,0.9333333333333333,0.8981481481481481,135,135,108,378
ATP,Malek Jaziri,0.8301886792452831,0.7241379310344828,0.8,53,29,15,97
ATP,Marc Andrea Huesler,1.0,0.9411764705882353,0.9473684210526315,25,34,38,97
ATP,Marco Cecchinato,0.8762886597938144,0.9178082191780822,0.8787878787878788,97,73,66,236
ATP,Marco Trungelliti,0.918918918918919,0.972972972972973,0.9615384615384616,37,74,52,163
ATP,Marcos Baghdatis,0.963855421686747,0.9225352112676056,0.8854961832061069,83,142,131,356
ATP,Marcos Giron,0.9856115107913669,0.9253731343283582,0.9814814814814815,139,134,108,381
ATP,Mariano Navone,0.9545454545454546,0.9473684210526315,1.0,44,19,15,78
ATP,Marin Cilic,0.9290123456790124,0.9210526315789473,0.871841155234657,648,722,554,1924
ATP,Marius Copil,0.8787878787878788,0.9393939393939394,0.8148148148148148,33,33,27,93
ATP,Martin Klizan,0.9090909090909091,0.9767441860465116,0.8378378378378378,44,43,37,124
ATP,Marton Fucsovics,0.9647058823529412,0.9506172839506173,0.8803088803088803,255,243,259,757
ATP,Matteo Arnaldi,0.9841269841269841,0.8947368421052632,0.9821428571428571,126,76,56,258
ATP,Matteo Berrettini,0.947129909365559,0.9284578696343402,0.9169184290030211,662,629,662,1953
ATP,Matthew Ebden,0.8936170212765957,0.8695652173913043,0.8461538461538461,47,23,13,83
ATP,Matthew Forbes,1.0,0.9230769230769231,1.0,18,26,16,60
ATP,Mattia Bellucci,0.984375,0.896551724137931,0.8169014084507042,64,29,71,164
ATP,Max Purcell,0.9882352941176471,0.9850746268656716,0.9318181818181818,85,67,44,196
ATP,Maxime Cressy,0.9418604651162791,0.9404761904761905,0.9416058394160584,86,168,137,391
ATP,Maximilian Marterer,0.9555555555555556,0.9285714285714286,0.8571428571428571,45,70,84,199
ATP,Michael Mmoh,0.9125,0.8888888888888888,0.8979591836734694,80,99,98,277
ATP,Mikael Ymer,0.9805825242718447,0.98,0.8850574712643678,103,100,87,290
ATP,Mikhail Kukushkin,0.9172413793103448,0.956140350877193,0.8012422360248447,145,114,161,420
ATP,Mikhail Youzhny,0.8571428571428571,0.9130434782608695,0.8333333333333334,21,23,36,80
ATP,Milos Raonic,0.9027237354085603,0.8609865470852018,0.86875,257,446,480,1183
ATP,Miomir Kecmanovic,0.965,0.940677966101695,0.9553571428571429,200,118,112,430
ATP,Mischa Zverev,0.9523809523809523,0.8888888888888888,0.8317757009345794,147,135,107,389
ATP,Mitchell Krueger,0.9629629629629629,0.9824561403508771,0.9761904761904762,27,57,42,126
ATP,Nick Kyrgios,0.9398496240601504,0.9122486288848263,0.9035250463821892,399,547,539,1485
ATP,Nicolas Jarry,0.9696969696969697,0.9904761904761905,0.8944723618090452,132,105,199,436
ATP,Nicolas Mahut,1.0,0.9487179487179487,0.8214285714285714,13,39,28,80
ATP,Nikoloz Basilashvili,0.8884120171673819,0.8138297872340425,0.783068783068783,233,188,189,610
ATP,Norbert Gombos,0.9230769230769231,0.8787878787878788,0.8863636363636364,39,33,44,116
