tour,player_name,ras_slow,ras_medium,ras_fast,n_slow,n_medium,n_fast,body_return_pts,cluster,PC1,PC2
WTA,Emma Navarro,0.993421052631579,0.9854014598540146,0.9556962025316456,152,137,158,447,1,1.5434076812026658,0.23834663058721237
WTA,Emma Raducanu,0.9533333333333334,0.9658703071672355,0.9683257918552036,150,293,221,664,1,0.8025891524941522,-0.6967419331014745
WTA,Ena Shibahara,0.9722222222222222,0.9629629629629629,0.9523809523809523,36,27,21,84,1,0.8865532830842264,-0.12710179713910333
WTA,Erika Andreeva,0.9523809523809523,0.9607843137254902,1.0,21,51,29,101,1,1.020117021908685,-1.0537032371529842
WTA,Eugenie Bouchard,0.9076923076923077,0.95,0.9,65,100,70,235,6,-0.7421363881477323,-0.8693514626161725
WTA,Eva Lys,0.9777777777777777,0.96875,0.8928571428571429,45,32,28,105,3,0.4801961309235478,0.627860159065979
WTA,Evgeniya Rodina,0.9913793103448276,0.9868421052631579,0.9529411764705882,116,76,85,277,1,1.5073025055151454,0.22378687564878855
WTA,Fiona Ferro,0.9873417721518988,0.9841269841269841,0.9607843137254902,79,63,51,193,1,1.4850166030238114,0.0591336056827982
WTA,Garbine Muguruza,0.9757281553398058,0.9619771863117871,0.9236363636363636,206,263,275,744,3,0.6494541659456915,0.2607442031338633
WTA,Garbiñe Muguruza,0.978021978021978,0.9574468085106383,0.9428571428571428,91,47,35,173,3,0.8033576567175906,0.10593436840475294
WTA,Greet Minnen,0.98989898989899,0.9830508474576272,0.9,198,118,130,446,3,0.9265229137652875,0.7771318162901556
WTA,Harmony Tan,1.0,1.0,0.9787234042553191,32,44,47,123,1,2.0644193103134603,0.0991095158917329
WTA,Harriet Dart,0.9875776397515528,0.9846938775510204,0.9601593625498008,161,196,251,608,1,1.490442073048108,0.06989872702799957
WTA,Heather Watson,0.9692307692307692,0.9714285714285714,0.9631336405529954,195,175,217,587,1,1.0639895423055474,-0.3203048605251135
WTA,Iga Swiatek,0.9768041237113402,0.9585253456221198,0.9748743718592965,388,434,398,1220,1,1.1065954728106728,-0.2704328334865621
WTA,Irina Camelia Begu,0.9690721649484536,0.9655172413793104,0.8405797101449275,97,58,69,224,6,-0.1924012824019994,1.0235361049148484
WTA,Iva Jovic,0.975609756097561,1.0,0.9333333333333333,41,15,30,86,1,1.2728505888626804,0.089750269165806
WTA,Jaimee Fourlis,1.0,1.0,0.9545454545454546,45,12,22,79,1,1.8333434325587632,0.36295162200974923
WTA,Jana Cepelova,0.9487179487179487,0.9555555555555556,1.0,39,45,11,95,1,0.8931657149945736,-1.120871675959427
WTA,Jana Fett,1.0,0.9565217391304348,0.9,36,23,20,79,3,0.7031840473506279,1.0299049594801426
WTA,Jasmine Paolini,0.994475138121547,0.9902439024390244,0.978494623655914,181,205,186,572,1,1.84457221807148,0.003381085773144025
WTA,Jelena Jankovic,0.961038961038961,0.9789473684210527,0.9661016949152542,77,95,59,231,1,1.077486837294987,-0.5346009660507242
WTA,Jelena Ostapenko,0.9363957597173145,0.9553903345724907,0.9120171673819742,566,538,466,1570,6,-0.13077113910038282,-0.4154542790504316
WTA,Jennifer Brady,0.9617224880382775,0.9835164835164835,0.9669421487603306,209,182,121,512,1,1.1595295159270778,-0.5371666131766455
WTA,Jessica Bouzas Maneiro,1.0,1.0,1.0,36,35,39,110,1,2.2677660827375945,-0.13307153749212242
WTA,Jessica Pegula,0.9830508474576272,0.9898305084745763,0.9708222811671088,354,295,377,1026,1,1.597881959904205,-0.1486019351856206
WTA,Jil Teichmann,0.9032258064516129,1.0,0.9166666666666666,31,36,12,79,6,0.05181618146285913,-1.2261310920143609
WTA,Jodie Burrage,1.0,0.9824561403508771,1.0,51,57,33,141,1,2.022088877213885,-0.10412965048216827
WTA,Johanna Konta,0.9607843137254902,0.9552715654952076,0.9122340425531915,357,313,376,1046,3,0.22737589268577632,0.08701886072073446
WTA,Johanna Larsson,1.0,0.9666666666666667,0.9019607843137255,65,60,51,176,3,0.8639893624450692,0.9917719212622004
WTA,Jule Niemeier,1.0,0.976878612716763,0.921875,195,173,128,496,3,1.1973194772548348,0.7576113328628156
WTA,Julia Goerges,0.9074074074074074,0.9090909090909091,0.8893280632411067,108,231,253,592,6,-1.421184835452493,-0.6913017417175858
WTA,Kaia Kanepi,0.9802955665024631,0.9364406779661016,0.935,203,236,200,639,3,0.46745270545106593,0.2733737774710065
WTA,Kaja Juvan,1.0,0.9714285714285714,0.9291338582677166,133,105,127,365,3,1.1903743489860923,0.6873898383038347
WTA,Kamilla Rakhimova,0.9846153846153847,0.9607843137254902,0.9836065573770492,65,51,61,177,1,1.3362628148896227,-0.20782018486404938
WTA,Karolina Muchova,0.9567430025445293,0.926056338028169,0.9433962264150944,393,284,371,1048,4,0.05680482367851574,-0.28846490137887676
WTA,Karolina Pliskova,0.9578783151326054,0.9319444444444445,0.9121522693997072,641,720,683,2044,4,-0.14269524996914756,0.06626323799459019
WTA,Katerina Siniakova,0.9619565217391305,0.9186046511627907,0.9554455445544554,184,172,202,558,4,0.14408652368446323,-0.29978298215444815
WTA,Kateryna Baindl,1.0,1.0,0.9473684210526315,43,18,19,80,1,1.7647503825305257,0.44127106824688794
WTA,Kateryna Bondarenko,1.0,0.9090909090909091,0.8571428571428571,20,22,28,70,5,-0.3706168568369103,1.5758299886952116
WTA,Kateryna Kozlova,1.0,1.0,0.9,26,25,40,91,3,1.312036252344165,0.9581794134119959
WTA,Katie Boulter,0.975103734439834,0.9303482587064676,0.9299610894941635,241,201,257,699,4,0.2578234205599865,0.23098300815294048
