tour,player_name,serve_pts,serve_pts_won,return_pts,return_pts_won,serve_win_pct,return_win_pct,total_win_pct
WTA,B. Pera,562,325,543,208,0.5782918149466192,0.3830570902394107,0.4823529411764706
WTA,B. Strycova,760,451,740,317,0.593421052631579,0.4283783783783784,0.512
WTA,Barbara Haas,43,20,43,10,0.46511627906976744,0.23255813953488372,0.3488372093023256
WTA,Barbora Krejcikova,1742,1080,1796,767,0.6199770378874856,0.42706013363028955,0.5220463538722442
WTA,Barbora Stefkova,55,31,56,18,0.5636363636363636,0.32142857142857145,0.44144144144144143
WTA,Barbora Strycova,1616,970,1583,710,0.6002475247524752,0.4485154769425142,0.5251641137855579
WTA,Beatriz Haddad Maia,1446,885,1429,615,0.6120331950207469,0.43037088873338,0.5217391304347826
WTA,Belinda Bencic,2260,1395,2438,1045,0.6172566371681416,0.42863002461033634,0.519369944657301
WTA,Bernarda Pera,1546,873,1445,562,0.5646830530401035,0.3889273356401384,0.47977265128719493
WTA,Bethanie Mattek Sands,367,205,362,173,0.55858310626703,0.47790055248618785,0.5185185185185185
WTA,Bianca Andreescu,1864,1132,1854,800,0.6072961373390557,0.43149946062567424,0.5196342119419043
WTA,Brenda Fruhvirtova,171,82,130,59,0.47953216374269003,0.45384615384615384,0.4684385382059801
WTA,Brienne Minor,60,26,62,27,0.43333333333333335,0.43548387096774194,0.4344262295081967
WTA,C Alcaraz,133,74,132,57,0.556390977443609,0.4318181818181818,0.49433962264150944
WTA,C Bellis,60,27,78,36,0.45,0.46153846153846156,0.45652173913043476
WTA,C Burel,369,182,412,208,0.4932249322493225,0.5048543689320388,0.499359795134443
WTA,C Garcia,485,280,442,169,0.5773195876288659,0.38235294117647056,0.4843581445523193
WTA,C Gauff,524,307,551,242,0.5858778625954199,0.43920145190562615,0.5106976744186047
WTA,C Giorgi,292,169,299,120,0.5787671232876712,0.4013377926421405,0.4890016920473773
WTA,C Mchale,163,88,194,81,0.5398773006134969,0.4175257731958763,0.4733893557422969
WTA,C Moutet,113,66,88,15,0.584070796460177,0.17045454545454544,0.40298507462686567
WTA,C Norrie,136,87,152,63,0.6397058823529411,0.4144736842105263,0.5208333333333334
WTA,C O'Connell,104,64,103,30,0.6153846153846154,0.2912621359223301,0.45410628019323673
WTA,C Paquet,126,61,103,36,0.48412698412698413,0.34951456310679613,0.42358078602620086
WTA,C Ruud,132,85,116,46,0.6439393939393939,0.39655172413793105,0.5282258064516129
WTA,C Suarez Navarro,101,57,112,50,0.5643564356435643,0.44642857142857145,0.5023474178403756
WTA,C Tauson,331,184,282,115,0.5558912386706949,0.4078014184397163,0.48776508972267535
WTA,C. Bellis,295,170,291,116,0.576271186440678,0.39862542955326463,0.4880546075085324
WTA,C. Burel,81,41,57,22,0.5061728395061729,0.38596491228070173,0.45652173913043476
WTA,C. Dolehide,123,66,110,50,0.5365853658536586,0.45454545454545453,0.4978540772532189
WTA,C. Garcia,985,617,1028,444,0.6263959390862944,0.43190661478599224,0.5270740188772975
WTA,C. Gauff,317,205,302,108,0.6466876971608833,0.3576158940397351,0.505654281098546
WTA,C. Giorgi,808,479,749,343,0.5928217821782178,0.45794392523364486,0.5279383429672447
WTA,C. McHale,52,24,62,22,0.46153846153846156,0.3548387096774194,0.40350877192982454
WTA,C. McNally,139,75,128,58,0.539568345323741,0.453125,0.49812734082397003
